0  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=109, nb_calimsMax=3, nb_claims=21 Nb_Messages=208
1  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=7 Nb_Messages=191
2  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=104, nb_calimsMax=2, nb_claims=2 Nb_Messages=215
3  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=106, nb_calimsMax=3, nb_claims=16 Nb_Messages=191
4  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=95, nb_calimsMax=2, nb_claims=6 Nb_Messages=207
5  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=3 Nb_Messages=191
6  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=18 Nb_Messages=223
7  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=96, nb_calimsMax=3, nb_claims=3 Nb_Messages=191
8  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=105, nb_calimsMax=2, nb_claims=2 Nb_Messages=188
9  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=27 Nb_Messages=190
10  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=17 Nb_Messages=202
11  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=107, nb_calimsMax=2, nb_claims=10 Nb_Messages=216
12  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=16 Nb_Messages=207
13  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=26 Nb_Messages=173
14  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=108, nb_calimsMax=3, nb_claims=37 Nb_Messages=206
15  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=108, nb_calimsMax=3, nb_claims=18 Nb_Messages=187
16  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=33 Nb_Messages=248
17  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=13 Nb_Messages=205
18  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=7 Nb_Messages=245
19  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=103, nb_calimsMax=4, nb_claims=12 Nb_Messages=200
20  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=96, nb_calimsMax=4, nb_claims=22 Nb_Messages=163
21  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=108, nb_calimsMax=2, nb_claims=11 Nb_Messages=214
22  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=98, nb_calimsMax=3, nb_claims=15 Nb_Messages=213
23  notDtected 1 0 nb_WinessCacheMax=6 nb_WinessCache=103, nb_calimsMax=6, nb_claims=25 Nb_Messages=192
24  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=20 Nb_Messages=197
25  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=29 Nb_Messages=200
26  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=106, nb_calimsMax=4, nb_claims=40 Nb_Messages=207
27  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=99, nb_calimsMax=3, nb_claims=11 Nb_Messages=184
28  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=21 Nb_Messages=186
29  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=19 Nb_Messages=186
30  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=106, nb_calimsMax=2, nb_claims=11 Nb_Messages=218
31  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=97, nb_calimsMax=2, nb_claims=15 Nb_Messages=199
32  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=14 Nb_Messages=211
33  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=14 Nb_Messages=183
34  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=13 Nb_Messages=192
35  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=109, nb_calimsMax=4, nb_claims=40 Nb_Messages=209
36  notDtected 1 0 nb_WinessCacheMax=4 nb_WinessCache=101, nb_calimsMax=4, nb_claims=22 Nb_Messages=181
37  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=26 Nb_Messages=183
38  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=18 Nb_Messages=179
39  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=101, nb_calimsMax=3, nb_claims=8 Nb_Messages=179
40  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=102, nb_calimsMax=2, nb_claims=4 Nb_Messages=179
41  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=104, nb_calimsMax=2, nb_claims=6 Nb_Messages=219
42  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=14 Nb_Messages=191
43  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=16 Nb_Messages=181
44  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=103, nb_calimsMax=2, nb_claims=2 Nb_Messages=214
45  detected 1 0 nb_WinessCacheMax=4 nb_WinessCache=100, nb_calimsMax=4, nb_claims=24 Nb_Messages=183
46  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=96, nb_calimsMax=2, nb_claims=2 Nb_Messages=230
47  notDtected 1 0 nb_WinessCacheMax=2 nb_WinessCache=89, nb_calimsMax=2, nb_claims=5 Nb_Messages=176
48  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=104, nb_calimsMax=2, nb_claims=2 Nb_Messages=264
49  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=20 Nb_Messages=185
50  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=103, nb_calimsMax=2, nb_claims=5 Nb_Messages=196
51  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=31 Nb_Messages=192
52  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=13 Nb_Messages=192
53  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=100, nb_calimsMax=3, nb_claims=19 Nb_Messages=194
54  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=29 Nb_Messages=192
55  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=24 Nb_Messages=189
56  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=11 Nb_Messages=216
57  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=31 Nb_Messages=186
58  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=14 Nb_Messages=191
59  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=104, nb_calimsMax=3, nb_claims=19 Nb_Messages=198
60  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=108, nb_calimsMax=3, nb_claims=25 Nb_Messages=194
61  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=99, nb_calimsMax=3, nb_claims=21 Nb_Messages=180
62  detected 1 0 nb_WinessCacheMax=2 nb_WinessCache=98, nb_calimsMax=2, nb_claims=4 Nb_Messages=238
63  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=103, nb_calimsMax=3, nb_claims=19 Nb_Messages=188
64  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=100, nb_calimsMax=3, nb_claims=18 Nb_Messages=185
65  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=105, nb_calimsMax=3, nb_claims=28 Nb_Messages=213
66  notDtected 1 0 nb_WinessCacheMax=5 nb_WinessCache=108, nb_calimsMax=5, nb_claims=11 Nb_Messages=228
67  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=102, nb_calimsMax=3, nb_claims=21 Nb_Messages=194
68  notDtected 1 0 nb_WinessCacheMax=3 nb_WinessCache=107, nb_calimsMax=3, nb_claims=27 Nb_Messages=208
69  detected 1 0 nb_WinessCacheMax=3 nb_WinessCache=98, nb_calimsMax=3, nb_claims=14 Nb_Messages=191
